Model,Road,Scenario_ID,Parameter,Matched,Success,Difference,Robustness
gpt-3.5-turbo-1106,Road1,1,Position,9.0,9.5,1.0,17.5
gpt-3.5-turbo-1106,Road1,1,Rotation,9.5,9.75,0.5,18.75
gpt-3.5-turbo-1106,Road1,1,Velocity,9.5,9.75,0.5,18.75
gpt-3.5-turbo-1106,Road1,1,Angular Velocity,10.0,10.0,0.0,20.0
gpt-3.5-turbo-1106,Road1,2,Position,9.0,9.5,1.0,17.5
gpt-3.5-turbo-1106,Road1,2,Rotation,8.0,8.5,1.0,15.5
gpt-3.5-turbo-1106,Road1,2,Velocity,6.5,8.0,3.0,11.5
gpt-3.5-turbo-1106,Road1,2,Angular Velocity,9.0,9.5,1.0,17.5
gpt-3.5-turbo-1106,Road1,3,Position,4.0,6.25,4.5,5.75
gpt-3.5-turbo-1106,Road1,3,Rotation,6.0,7.5,3.0,10.5
gpt-3.5-turbo-1106,Road1,3,Velocity,8.0,9.0,2.0,15.0
gpt-3.5-turbo-1106,Road1,3,Angular Velocity,8.0,8.75,1.5,15.25
gpt-3.5-turbo-1106,Road1,4,Position,6.0,7.25,2.5,10.75
gpt-3.5-turbo-1106,Road1,4,Rotation,5.5,6.25,1.5,10.25
gpt-3.5-turbo-1106,Road1,4,Velocity,4.5,5.75,2.5,7.75
gpt-3.5-turbo-1106,Road1,4,Angular Velocity,3.0,5.0,4.0,4.0
gpt-3.5-turbo-1106,Road1,5,Position,5.0,7.5,5.0,7.5
gpt-3.5-turbo-1106,Road1,5,Rotation,5.0,7.25,4.5,7.75
gpt-3.5-turbo-1106,Road1,5,Velocity,5.0,7.0,4.0,8.0
gpt-3.5-turbo-1106,Road1,5,Angular Velocity,5.0,7.0,4.0,8.0
gpt-3.5-turbo-1106,Road1,6,Position,4.0,7.0,6.0,5.0
gpt-3.5-turbo-1106,Road1,6,Rotation,4.0,6.75,5.5,5.25
gpt-3.5-turbo-1106,Road1,6,Velocity,4.0,6.5,5.0,5.5
gpt-3.5-turbo-1106,Road1,6,Angular Velocity,4.0,6.5,5.0,5.5
gpt-3.5-turbo-1106,Road1,7,Position,7.0,8.5,3.0,12.5
gpt-3.5-turbo-1106,Road1,7,Rotation,7.0,8.25,2.5,12.75
gpt-3.5-turbo-1106,Road1,7,Velocity,7.0,7.5,1.0,13.5
gpt-3.5-turbo-1106,Road1,7,Angular Velocity,7.0,8.5,3.0,12.5
gpt-3.5-turbo-1106,Road1,8,Position,9.0,9.0,0.0,18.0
gpt-3.5-turbo-1106,Road1,8,Rotation,4.0,6.5,5.0,5.5
gpt-3.5-turbo-1106,Road1,8,Velocity,9.0,9.25,0.5,17.75
gpt-3.5-turbo-1106,Road1,8,Angular Velocity,9.0,9.5,1.0,17.5
gpt-3.5-turbo-1106,Road1,9,Position,5.0,6.5,3.0,8.5
gpt-3.5-turbo-1106,Road1,9,Rotation,8.0,8.5,1.0,15.5
gpt-3.5-turbo-1106,Road1,9,Velocity,8.0,8.5,1.0,15.5
gpt-3.5-turbo-1106,Road1,9,Angular Velocity,8.0,8.5,1.0,15.5
gpt-3.5-turbo-1106,Road1,10,Position,8.5,9.0,1.0,16.5
gpt-3.5-turbo-1106,Road1,10,Rotation,8.0,8.75,1.5,15.25
gpt-3.5-turbo-1106,Road1,10,Velocity,9.0,9.5,1.0,17.5
gpt-3.5-turbo-1106,Road1,10,Angular Velocity,6.5,7.75,2.5,11.75
gpt-3.5-turbo-1106,Road1,11,Position,7.5,8.75,2.5,13.75
gpt-3.5-turbo-1106,Road1,11,Rotation,10.0,10.0,0.0,20.0
gpt-3.5-turbo-1106,Road1,11,Velocity,7.0,8.5,3.0,12.5
gpt-3.5-turbo-1106,Road1,11,Angular Velocity,6.0,8.0,4.0,10.0
gpt-3.5-turbo-1106,Road1,12,Position,5.0,6.5,3.0,8.5
gpt-3.5-turbo-1106,Road1,12,Rotation,5.0,5.25,0.5,9.75
gpt-3.5-turbo-1106,Road1,12,Velocity,3.0,5.0,4.0,4.0
gpt-3.5-turbo-1106,Road1,12,Angular Velocity,3.0,5.25,4.5,3.75
