Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,9.391374111175537
gpt-3.5-turbo-1106,0_1,7.0,7.5,7.5,7.5,7.5,7.5,7.5,True,95.0,90.0,7.5,95.0,90.0,7.473745822906494
gpt-3.5-turbo-1106,0_2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,7.728910684585571
gpt-3.5-turbo-1106,0_3,7.0,8.0,8.0,8.0,8.0,8.0,8.0,True,95.0,90.0,8.0,90.0,85.0,9.342944145202637
gpt-3.5-turbo-1106,0_4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,7.946844577789307
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,9.324252605438232
gpt-3.5-turbo-1106,0_6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,8.990642070770264
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,11.012446641921997
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,9.32341980934143
gpt-3.5-turbo-1106,0_9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,7.635387420654297
llama-v2-13b-chat,0_0,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.6642484664917
llama-v2-13b-chat,0_1,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.68862557411194
llama-v2-13b-chat,0_2,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.48082709312439
llama-v2-13b-chat,0_3,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.820576429367065
llama-v2-13b-chat,0_4,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.557597160339355
llama-v2-13b-chat,0_5,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.823124885559082
llama-v2-13b-chat,0_6,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.462812662124634
llama-v2-13b-chat,0_7,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.35579228401184
llama-v2-13b-chat,0_8,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.925114393234253
llama-v2-13b-chat,0_9,1.0,6.0,1.0,7.0,1.0,8.0,1.0,True,0.85,0.85,4.1,0.85,0.85,19.899756908416748
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.479164123535156
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.082719564437866
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.27863073348999
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,8.962032079696655
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.308475255966187
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.087486028671265
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,8.877252578735352
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,8.890525102615356
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,8.869099617004395
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100.0,100.0,9.170560598373413
