Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,7.556453227996826
gpt-3.5-turbo-1106,0_1,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,7.105772495269775
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,8.294970273971558
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,8.853756427764893
gpt-3.5-turbo-1106,0_4,8.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.5,95.0,90.0,6.972011089324951
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,6.932111024856567
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,100.0,95.0,8.104511260986328
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,7.420105457305908
gpt-3.5-turbo-1106,0_8,8.5,8.5,9.0,8.5,8.0,8.0,8.5,True,95.0,90.0,8.5,95.0,90.0,6.340795993804932
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,10.106430053710938
llama-v2-13b-chat,0_0,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,18.985690593719482
llama-v2-13b-chat,0_1,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,19.011505603790283
llama-v2-13b-chat,0_2,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,18.91989779472351
llama-v2-13b-chat,0_3,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,18.90096688270569
llama-v2-13b-chat,0_4,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,18.918861627578735
llama-v2-13b-chat,0_5,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,19.066968202590942
llama-v2-13b-chat,0_6,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,19.166086196899414
llama-v2-13b-chat,0_7,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,20.31128692626953
llama-v2-13b-chat,0_8,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,19.24276900291443
llama-v2-13b-chat,0_9,1.0,3.0,5.0,4.0,1.0,3.0,5.0,False,0.2,0.3,3.5,0.4,0.5,18.942880392074585
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.88792634010315
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.620670557022095
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.39589786529541
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.371007680892944
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.684056758880615
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.677119970321655
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.582108736038208
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.820046424865723
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.61275339126587
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.8,0.7,7.0,0.8,0.7,9.566054821014404
