Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,95.0,90.0,8.28778624534607
gpt-3.5-turbo-1106,0_1,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,7.326864719390869
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,7.995506048202515
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,8.107334852218628
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,7.572458028793335
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,8.410019636154175
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,7.780032634735107
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,6.8103883266448975
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,9.207090854644775
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,9.011799812316895
llama-v2-13b-chat,0_0,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,17.252421140670776
llama-v2-13b-chat,0_1,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.735545873641968
llama-v2-13b-chat,0_2,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.63577890396118
llama-v2-13b-chat,0_3,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.612184286117554
llama-v2-13b-chat,0_4,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.964585304260254
llama-v2-13b-chat,0_5,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.635288953781128
llama-v2-13b-chat,0_6,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.736162900924683
llama-v2-13b-chat,0_7,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.645343780517578
llama-v2-13b-chat,0_8,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.510986328125
llama-v2-13b-chat,0_9,1.0,3.0,5.0,7.0,9.0,10.0,,True,0.85,0.9,7.5,0.85,0.9,16.679536819458008
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.207926273345947
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.27617621421814
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.207439661026001
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.348491668701172
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.638772964477539
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.453829288482666
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.475439071655273
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.04799509048462
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.133487462997437
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.507858753204346
