Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100,100,7.983631134033203
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100,100,8.737913608551025
gpt-3.5-turbo-1106,0_2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,100,95,6.058407545089722
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,95.0,10.0,95,95,7.848013162612915
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100,100,6.0944318771362305
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90,85,7.295997619628906
gpt-3.5-turbo-1106,0_6,8.0,7.5,7.5,7.5,7.5,7.5,6.5,False,75.0,80.0,7.3,70,75,12.108017444610596
gpt-3.5-turbo-1106,0_7,8.5,8.0,8.0,8.0,8.0,8.0,8.0,True,95.0,90.0,8.0,90,85,8.21218228340149
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95,90,8.590008974075317
gpt-3.5-turbo-1106,0_9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95,90,7.23395562171936
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.306930780410767
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.098564863204956
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.408485174179077
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.119689226150513
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.22765803337097
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.09390139579773
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.132651329040527
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.346048593521118
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.070637702941895
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,8.0,7.0,True,0.85,0.9,7.5,,,18.082022190093994
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.661279916763306
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.448304176330566
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.445321083068848
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.271266460418701
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.745905876159668
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.657398462295532
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.26743483543396
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.620214462280273
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.562395811080933
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,7.0,100,100,9.154311418533325
