Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,9.766490697860718
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,6.427439212799072
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.172017335891724
gpt-3.5-turbo-1106,0_3,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,5.5,90,85,5.7739222049713135
gpt-3.5-turbo-1106,0_4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.882615566253662
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.866298913955688
gpt-3.5-turbo-1106,0_6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.137916803359985
gpt-3.5-turbo-1106,0_7,8.5,7.5,7.0,6.5,6.0,5.5,6.0,False,75,80,6.5,70,85,7.000028133392334
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.27482533454895
gpt-3.5-turbo-1106,0_9,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.3816468715667725
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,15.110631704330444
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,15.118517398834229
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.848257780075073
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.864758491516113
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.870701789855957
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.902211666107178
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.853252172470093
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.865339517593384
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.953820943832397
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,8.0,,True,80,70,7.5,80,70,14.881714344024658
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.956469535827637
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.030112504959106
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.056213140487671
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.969587326049805
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.616377592086792
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.623149156570435
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.335208654403687
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.699180364608765
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.62161374092102
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.224376678466797
