Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,9.491721153259277
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,6.433575391769409
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,95,90,9.573843479156494
gpt-3.5-turbo-1106,0_3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,12.443291902542114
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.432044982910156
gpt-3.5-turbo-1106,0_5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.283815622329712
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.400314807891846
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,100,100,7.8104023933410645
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,9.80722713470459
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,8.656540393829346
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.205049991607666
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.055302858352661
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,14.878600358963013
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,14.874994039535522
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.302879571914673
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.31389832496643
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.001476764678955
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,14.862664937973022
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.073550939559937
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,10.0,,True,80,80,8.0,80,80,15.329418182373047
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.197006464004517
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.669360160827637
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.953986406326294
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.833736658096313
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.141572713851929
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.038238048553467
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.189983606338501
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.770437002182007
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,9.10892367362976
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.819335222244263
