Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,5.5,75,85,9.236065864562988
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,11.578740358352661
gpt-3.5-turbo-1106,0_2,9.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,12.232836484909058
gpt-3.5-turbo-1106,0_3,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,90,5.5,80,85,7.927015066146851
gpt-3.5-turbo-1106,0_4,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,80,5.5,70,85,8.114396095275879
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,9.692171812057495
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,13.766710758209229
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,14.353908777236938
gpt-3.5-turbo-1106,0_8,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,80,90,5.5,85,85,10.053043365478516
gpt-3.5-turbo-1106,0_9,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,90,5.5,80,85,9.07985258102417
llama-v2-13b-chat,0_0,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,17.176164627075195
llama-v2-13b-chat,0_1,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,15.770007610321045
llama-v2-13b-chat,0_2,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,15.76104187965393
llama-v2-13b-chat,0_3,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,15.67285704612732
llama-v2-13b-chat,0_4,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,16.440082788467407
llama-v2-13b-chat,0_5,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,16.402619123458862
llama-v2-13b-chat,0_6,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,16.346576690673828
llama-v2-13b-chat,0_7,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,17.529123306274414
llama-v2-13b-chat,0_8,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,16.013198614120483
llama-v2-13b-chat,0_9,2.0,4.0,6.0,8.0,9.0,8.5,,False,60,70,7.0,60,70,15.550184726715088
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.648146629333496
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.051429986953735
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.010739088058472
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.150593996047974
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.829403162002563
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.602615594863892
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.962358474731445
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.934470176696777
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.471454620361328
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.812707424163818
