Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,11.756218671798706
gpt-3.5-turbo-1106,0_1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,12.726003646850586
gpt-3.5-turbo-1106,0_2,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,10.331644535064697
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,10.558561563491821
gpt-3.5-turbo-1106,0_4,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,11.087594747543335
gpt-3.5-turbo-1106,0_5,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,30.0,70.0,5.5,60.0,80.0,6.312379837036133
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,11.955690383911133
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,10.083104372024536
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,10.417244911193848
gpt-3.5-turbo-1106,0_9,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,11.631286859512329
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.3415207862854
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.070415019989014
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.668434381484985
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.126038312911987
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,14.904860258102417
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,9.0,,True,0.95,0.9,8.5,0.95,0.9,15.607560634613037
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,14.91841721534729
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.118314504623413
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,15.114418983459473
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,8.0,8.0,,True,85.0,90.0,7.1,85.0,90.0,14.970043420791626
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,8.995104789733887
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.180349349975586
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.504731893539429
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,8.990434408187866
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0.0,0.0,5.0,0.0,0.0,9.332451343536377
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.217128992080688
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.121024131774902
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.16513204574585
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.291072607040405
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,9.080510377883911
