Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,80,4.5,70,85,9.00717282295227
gpt-3.5-turbo-1106,0_1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,13.167543888092041
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,13.207351922988892
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,12.373168706893921
gpt-3.5-turbo-1106,0_4,8.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,8.7,90,85,13.735699653625488
gpt-3.5-turbo-1106,0_5,8.5,8.0,8.0,8.0,8.0,8.0,8.0,True,95,90,8.1,90,85,16.009624481201172
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,14.53038740158081
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,11.861977338790894
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,12.71065902709961
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,12.290094375610352
llama-v2-13b-chat,0_0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.457406520843506
llama-v2-13b-chat,0_1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.459927558898926
llama-v2-13b-chat,0_2,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.539879322052002
llama-v2-13b-chat,0_3,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.382508516311646
llama-v2-13b-chat,0_4,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.42501473426819
llama-v2-13b-chat,0_5,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.537270307540894
llama-v2-13b-chat,0_6,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.66426920890808
llama-v2-13b-chat,0_7,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.786818742752075
llama-v2-13b-chat,0_8,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.42867398262024
llama-v2-13b-chat,0_9,1.0,5.0,5.0,5.0,5.0,5.0,5.0,False,50,50,5.0,50,50,19.80524492263794
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.609283447265625
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.672640562057495
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.667062282562256
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.321747064590454
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.585270404815674
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.42298436164856
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.437278985977173
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,13.039693355560303
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.53982925415039
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.722659826278687
