Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.580729484558105
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,95,8.36409616470337
gpt-3.5-turbo-1106,0_2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.337129354476929
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.495140314102173
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.940176725387573
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.32979154586792
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,10.660958051681519
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.088597297668457
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.677452087402344
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.699061393737793
llama-v2-13b-chat,0_0,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.411540031433105
llama-v2-13b-chat,0_1,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.726003646850586
llama-v2-13b-chat,0_2,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.563963651657104
llama-v2-13b-chat,0_3,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.288946390151978
llama-v2-13b-chat,0_4,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.344235181808472
llama-v2-13b-chat,0_5,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.995051622390747
llama-v2-13b-chat,0_6,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.90247130393982
llama-v2-13b-chat,0_7,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.718894004821777
llama-v2-13b-chat,0_8,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.629841327667236
llama-v2-13b-chat,0_9,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.34788465499878
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.813109636306763
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.22194528579712
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.123860120773315
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.102712631225586
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.921175956726074
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.194810628890991
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.779476881027222
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.693312406539917
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.966381549835205
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.866376161575317
