Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,8.279704570770264
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.046565055847168
gpt-3.5-turbo-1106,0_2,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,70,80,6.5,75,85,6.734916687011719
gpt-3.5-turbo-1106,0_3,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,90,85,7.284830808639526
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,95,10.0,100,100,7.08726954460144
gpt-3.5-turbo-1106,0_5,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,75,80,6.5,70,85,9.08890414237976
gpt-3.5-turbo-1106,0_6,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,75,80,6.5,70,85,6.506168603897095
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,100,95,7.150991201400757
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,7.0323426723480225
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,95,10.0,95,95,6.696275472640991
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.627288103103638
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.50083065032959
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.82930612564087
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.767003297805786
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,9.0,,True,0.95,0.9,8.5,0.95,0.9,15.250199556350708
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.41784930229187
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.458781480789185
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.388969421386719
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,15.25948429107666
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,9.0,,True,85,80,8.5,,,14.39579963684082
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.083125114440918
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.229465246200562
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.270652532577515
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.235228776931763
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.330148696899414
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.306017398834229
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.149455308914185
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.271794080734253
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.300354719161987
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.209093809127808
