Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,95,90,9.385963678359985
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.078813791275024
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.988561153411865
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.455840587615967
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,12.07755446434021
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,10.221106052398682
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,8.88811707496643
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.51994800567627
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,14.517718315124512
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,14.007264375686646
llama-v2-13b-chat,0_0,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.392892599105835
llama-v2-13b-chat,0_1,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.574984788894653
llama-v2-13b-chat,0_2,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.145468950271606
llama-v2-13b-chat,0_3,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.217016220092773
llama-v2-13b-chat,0_4,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.512614488601685
llama-v2-13b-chat,0_5,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.650371074676514
llama-v2-13b-chat,0_6,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.333446264266968
llama-v2-13b-chat,0_7,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.69304370880127
llama-v2-13b-chat,0_8,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.559855937957764
llama-v2-13b-chat,0_9,2.0,4.0,1.0,3.0,1.0,3.0,,False,60,70,2.5,60,70,14.670063972473145
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.091222047805786
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.22388482093811
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.255016326904297
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.662205457687378
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.297640562057495
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.077515602111816
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.27278757095337
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.348409652709961
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.144609212875366
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.015727519989014
