Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.404694318771362
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.6049394607543945
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.925864219665527
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.355623960494995
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.921692609786987
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.212430953979492
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,95,9.851159572601318
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,8.532592296600342
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,6.7343409061431885
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.214155197143555
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,6.0,60,70,17.449143171310425
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,6.0,60,70,17.57689881324768
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.584698915481567
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.056293725967407
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.10994839668274
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.004923820495605
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.034186363220215
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.139162302017212
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.033486127853394
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,20,30,17.127447605133057
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.814465045928955
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.744057893753052
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.97933578491211
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.842237949371338
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.173723936080933
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.178065776824951
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.90699577331543
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.861365795135498
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.683693408966064
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.949648141860962
