Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,9.5,9.0,8.5,8.0,7.5,7.0,True,95,90,8.5,95,90,5.495557069778442
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,100,100,9.167704820632935
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.656370639801025
gpt-3.5-turbo-1106,0_3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,9.00523591041565
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.885599374771118
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,6.438729763031006
gpt-3.5-turbo-1106,0_6,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,70,75,6.5,80,85,5.683445930480957
gpt-3.5-turbo-1106,0_7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,11.004191398620605
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.709187984466553
gpt-3.5-turbo-1106,0_9,10.0,9.5,9.0,8.5,8.0,7.5,7.0,True,95,90,8.5,90,85,6.933110237121582
llama-v2-13b-chat,0_0,1.0,3.0,2.0,4.0,6.0,8.0,,True,80,70,5.0,75,65,16.309574842453003
llama-v2-13b-chat,0_1,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.64290952682495
llama-v2-13b-chat,0_2,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.483994245529175
llama-v2-13b-chat,0_3,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.676048040390015
llama-v2-13b-chat,0_4,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.495645999908447
llama-v2-13b-chat,0_5,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.416430711746216
llama-v2-13b-chat,0_6,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.498214721679688
llama-v2-13b-chat,0_7,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.361530542373657
llama-v2-13b-chat,0_8,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.38549780845642
llama-v2-13b-chat,0_9,2.0,4.0,6.0,8.0,7.5,7.0,6.5,,,,7.2,85,75,17.484659433364868
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.168114185333252
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.3310546875
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.209107637405396
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.163191556930542
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.638299942016602
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.335821866989136
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.258738279342651
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.315291166305542
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.203601360321045
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.533629179000854
