Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,5.815843343734741
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,8.622536420822144
gpt-3.5-turbo-1106,0_2,10.0,9.5,9.5,9.0,9.0,9.0,9.0,True,95.0,90.0,9.3,95.0,90.0,7.82150411605835
gpt-3.5-turbo-1106,0_3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,8.599036693572998
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,8.190802335739136
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,5.981490612030029
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,6.897828817367554
gpt-3.5-turbo-1106,0_7,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.6,95.0,90.0,6.755438327789307
gpt-3.5-turbo-1106,0_8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,7.414291143417358
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,8.702872276306152
llama-v2-13b-chat,0_0,2.0,4.0,5.0,7.0,8.0,9.0,,True,75.0,55.0,7.5,75.0,55.0,16.16059184074402
llama-v2-13b-chat,0_1,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,15.12438440322876
llama-v2-13b-chat,0_2,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.846025228500366
llama-v2-13b-chat,0_3,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.894994735717773
llama-v2-13b-chat,0_4,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.84470272064209
llama-v2-13b-chat,0_5,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,15.076123714447021
llama-v2-13b-chat,0_6,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.985885381698608
llama-v2-13b-chat,0_7,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.75,0.85,5.5,0.75,0.85,15.144775152206421
llama-v2-13b-chat,0_8,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.92312216758728
llama-v2-13b-chat,0_9,2.0,4.0,6.0,8.0,8.0,2.0,,True,0.7,0.8,5.0,0.7,0.8,14.929412841796875
mistral-7b-instruct-4k,0_0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,12.154221773147583
mistral-7b-instruct-4k,0_1,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,12.113123416900635
mistral-7b-instruct-4k,0_2,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,11.945274829864502
mistral-7b-instruct-4k,0_3,0.95,0.95,0.95,0.95,0.95,0.95,0.95,True,100.0,100.0,0.95,100.0,100.0,9.031541585922241
mistral-7b-instruct-4k,0_4,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,11.980505466461182
mistral-7b-instruct-4k,0_5,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,12.546486139297485
mistral-7b-instruct-4k,0_6,0.95,0.95,0.95,0.95,0.95,0.95,0.95,True,100.0,100.0,0.95,100.0,100.0,8.925551414489746
mistral-7b-instruct-4k,0_7,0.95,0.95,0.95,0.95,0.95,0.95,0.95,True,100.0,100.0,0.95,100.0,100.0,8.71666669845581
mistral-7b-instruct-4k,0_8,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,12.345076084136963
mistral-7b-instruct-4k,0_9,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.0,0.0,5.0,0.0,0.0,12.572861671447754
