Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,8.429402112960815
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.91320538520813
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,9.83159875869751
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.791362762451172
gpt-3.5-turbo-1106,0_4,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,9.624806880950928
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.064120531082153
gpt-3.5-turbo-1106,0_6,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,90,4.5,80,85,4.709223508834839
gpt-3.5-turbo-1106,0_7,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,5.342837572097778
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,10.758960723876953
gpt-3.5-turbo-1106,0_9,10.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.184604167938232
llama-v2-13b-chat,0_0,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.540754318237305
llama-v2-13b-chat,0_1,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.128289937973022
llama-v2-13b-chat,0_2,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.326501369476318
llama-v2-13b-chat,0_3,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.10532283782959
llama-v2-13b-chat,0_4,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.149081707000732
llama-v2-13b-chat,0_5,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.137459754943848
llama-v2-13b-chat,0_6,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.00379204750061
llama-v2-13b-chat,0_7,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.106554985046387
llama-v2-13b-chat,0_8,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,13.998552560806274
llama-v2-13b-chat,0_9,1.0,3.0,5.0,8.0,9.0,8.5,,True,80,90,8.5,85,95,14.005150318145752
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.499451398849487
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.716872692108154
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.398040533065796
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.674590587615967
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.791867971420288
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.300583124160767
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.256118774414062
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.267426252365112
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.705666780471802
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.755571126937866
