Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95,90,9.0,95,90,8.5515615940094
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,8.929532051086426
gpt-3.5-turbo-1106,0_2,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,6.994712829589844
gpt-3.5-turbo-1106,0_3,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,90,4.5,80,85,5.645997762680054
gpt-3.5-turbo-1106,0_4,,,,,,,,False,,,,,,5.0329225063323975
gpt-3.5-turbo-1106,0_5,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,6.137228012084961
gpt-3.5-turbo-1106,0_6,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,5.5,75,85,5.418887376785278
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,6.8536217212677
gpt-3.5-turbo-1106,0_8,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,8.982065200805664
gpt-3.5-turbo-1106,0_9,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,85,90,4.5,80,85,7.011396408081055
llama-v2-13b-chat,0_0,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.61056900024414
llama-v2-13b-chat,0_1,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.2044837474823
llama-v2-13b-chat,0_2,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.283608436584473
llama-v2-13b-chat,0_3,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,14.998778820037842
llama-v2-13b-chat,0_4,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.134618997573853
llama-v2-13b-chat,0_5,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.115216493606567
llama-v2-13b-chat,0_6,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.222445964813232
llama-v2-13b-chat,0_7,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.134525060653687
llama-v2-13b-chat,0_8,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.233147144317627
llama-v2-13b-chat,0_9,1.0,3.0,5.0,8.0,8.0,6.0,,True,80,70,6.5,75,65,15.227527618408203
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.308728694915771
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.781094312667847
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.36815357208252
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.399576187133789
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.31451678276062
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.264432668685913
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.596197366714478
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.374548435211182
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.353556871414185
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.339775800704956
