Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.847033023834229
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.901547193527222
gpt-3.5-turbo-1106,0_2,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.5,90,85,6.609461784362793
gpt-3.5-turbo-1106,0_3,10.0,9.5,9.0,8.5,8.0,7.5,7.0,False,75,80,8.5,70,85,5.702495574951172
gpt-3.5-turbo-1106,0_4,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,70,80,4.5,75,85,5.723743677139282
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,7.889409065246582
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,7.378355264663696
gpt-3.5-turbo-1106,0_7,,,,,,,,True,,,,,,6.494518756866455
gpt-3.5-turbo-1106,0_8,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,8.141779899597168
gpt-3.5-turbo-1106,0_9,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,30,70,5.5,80,90,4.60706901550293
llama-v2-13b-chat,0_0,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.381356716156006
llama-v2-13b-chat,0_1,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.017646074295044
llama-v2-13b-chat,0_2,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.832554817199707
llama-v2-13b-chat,0_3,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,16.188512802124023
llama-v2-13b-chat,0_4,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.814866542816162
llama-v2-13b-chat,0_5,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.926021814346313
llama-v2-13b-chat,0_6,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.10932183265686
llama-v2-13b-chat,0_7,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.96790623664856
llama-v2-13b-chat,0_8,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.918553113937378
llama-v2-13b-chat,0_9,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.134711265563965
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.538820266723633
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.0029456615448
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.309794425964355
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.52418327331543
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.896098136901855
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.609788656234741
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.697362899780273
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.694391965866089
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,10.944907665252686
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.279143810272217
