Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75,90,4.5,80,85,5.712759017944336
gpt-3.5-turbo-1106,0_1,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,85,90,4.5,80,85,6.66740608215332
gpt-3.5-turbo-1106,0_2,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,6.780111312866211
gpt-3.5-turbo-1106,0_3,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,6.594725131988525
gpt-3.5-turbo-1106,0_4,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,85,90,4.5,80,85,6.937798261642456
gpt-3.5-turbo-1106,0_5,8.5,7.0,6.5,5.5,4.5,3.5,2.0,False,75,85,5.0,80,90,6.532795190811157
gpt-3.5-turbo-1106,0_6,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80,90,4.5,85,85,6.914062738418579
gpt-3.5-turbo-1106,0_7,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,85,90,4.5,80,85,6.68246054649353
gpt-3.5-turbo-1106,0_8,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,85,90,5.5,80,85,6.450761318206787
gpt-3.5-turbo-1106,0_9,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,70,80,4.5,75,85,6.881685972213745
llama-v2-13b-chat,0_0,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.110297441482544
llama-v2-13b-chat,0_1,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.107706308364868
llama-v2-13b-chat,0_2,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.875400304794312
llama-v2-13b-chat,0_3,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.879190921783447
llama-v2-13b-chat,0_4,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.565531015396118
llama-v2-13b-chat,0_5,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,16.121753692626953
llama-v2-13b-chat,0_6,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.889958620071411
llama-v2-13b-chat,0_7,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.775822639465332
llama-v2-13b-chat,0_8,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,15.120214939117432
llama-v2-13b-chat,0_9,1.0,3.0,5.0,7.0,8.0,9.0,,True,80,70,6.5,,,14.75933027267456
mistral-7b-instruct-4k,0_0,,,,,,,,,,,,,,12.810991764068604
mistral-7b-instruct-4k,0_1,,,,,,,,,,,,,,12.795000314712524
mistral-7b-instruct-4k,0_2,,,,,,,,,,,,,,12.644062995910645
mistral-7b-instruct-4k,0_3,,,,,,,,,,,,,,12.281504154205322
mistral-7b-instruct-4k,0_4,,,,,,,,,,,,,,12.417781114578247
mistral-7b-instruct-4k,0_5,,,,,,,,,,,,,,12.318525314331055
mistral-7b-instruct-4k,0_6,,,,,,,,,,,,,,12.177005767822266
mistral-7b-instruct-4k,0_7,,,,,,,,,,,,,,12.295452356338501
mistral-7b-instruct-4k,0_8,,,,,,,,,,,,,,12.67247223854065
mistral-7b-instruct-4k,0_9,,,,,,,,,,,,,,12.507493257522583
