Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,9.730145692825317
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,8.626382827758789
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,8.208068132400513
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100.0,100.0,10.0,100.0,100.0,7.012174129486084
gpt-3.5-turbo-1106,0_4,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,10.47986650466919
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,14.301305055618286
gpt-3.5-turbo-1106,0_6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,8.379356384277344
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,95.0,90.0,8.473392486572266
gpt-3.5-turbo-1106,0_8,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,75.0,80.0,4.5,70.0,85.0,6.144542932510376
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,7.729537725448608
llama-v2-13b-chat,0_0,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.764762878417969
llama-v2-13b-chat,0_1,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.357620239257812
llama-v2-13b-chat,0_2,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.351380109786987
llama-v2-13b-chat,0_3,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.326527118682861
llama-v2-13b-chat,0_4,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.334800958633423
llama-v2-13b-chat,0_5,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.340258121490479
llama-v2-13b-chat,0_6,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.6996591091156
llama-v2-13b-chat,0_7,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.334697484970093
llama-v2-13b-chat,0_8,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.366933345794678
llama-v2-13b-chat,0_9,1.0,6.0,7.0,8.0,9.0,9.5,,True,0.95,0.9,8.2,0.95,0.9,14.34076476097107
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.807343482971191
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.826846361160278
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.813472270965576
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.822245597839355
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.814274311065674
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.816996097564697
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.832486867904663
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.891471147537231
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.83710527420044
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,7.0,0.9,0.9,8.864327669143677
