Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,9.181872129440308
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.514501333236694
gpt-3.5-turbo-1106,0_2,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,80,3.5,70,85,4.8756866455078125
gpt-3.5-turbo-1106,0_3,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,5.5,60,75,5.169902563095093
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.775815963745117
gpt-3.5-turbo-1106,0_5,8.5,7.0,6.0,5.5,4.5,3.5,3.0,False,30,70,5.5,60,80,6.230136156082153
gpt-3.5-turbo-1106,0_6,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,90,4.5,80,85,6.2084527015686035
gpt-3.5-turbo-1106,0_7,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,8.487409353256226
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.6,90,85,9.547903060913086
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,9.341109991073608
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,17.620352268218994
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.761998414993286
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.791793823242188
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,17.160415649414062
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.8572256565094
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.937376499176025
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.82142996788025
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.75085687637329
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.980035305023193
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,20,30,7.0,40,50,16.956258296966553
mistral-7b-instruct-4k,0_0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.811173677444458
mistral-7b-instruct-4k,0_1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,8.0,100,100,9.372804403305054
mistral-7b-instruct-4k,0_2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.90874457359314
mistral-7b-instruct-4k,0_3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.862431764602661
mistral-7b-instruct-4k,0_4,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.68634819984436
mistral-7b-instruct-4k,0_5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.494362592697144
mistral-7b-instruct-4k,0_6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,8.0,100,100,9.33653736114502
mistral-7b-instruct-4k,0_7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.872998714447021
mistral-7b-instruct-4k,0_8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.625462293624878
mistral-7b-instruct-4k,0_9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,True,100,100,7.0,100,100,9.974074602127075
