Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,60,70,6.5,75,80,5.075605392456055
gpt-3.5-turbo-1106,0_1,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,4.5,60,75,4.20644474029541
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,8.223734617233276
gpt-3.5-turbo-1106,0_3,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70,80,4.5,75,85,4.788552522659302
gpt-3.5-turbo-1106,0_4,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,30,70,4.5,80,90,4.8006181716918945
gpt-3.5-turbo-1106,0_5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,9.300875663757324
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.5,95,90,8.796730041503906
gpt-3.5-turbo-1106,0_7,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95,90,9.6,95,90,8.09719467163086
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,7.434372901916504
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,7.959153652191162
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.956321477890015
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.83502960205078
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.769128799438477
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.89115047454834
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.834095239639282
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.992469549179077
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.853459358215332
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.975857973098755
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.794102907180786
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,17.726504802703857
mistral-7b-instruct-4k,0_0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.012418508529663
mistral-7b-instruct-4k,0_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.042912244796753
mistral-7b-instruct-4k,0_2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.292569398880005
mistral-7b-instruct-4k,0_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.062682867050171
mistral-7b-instruct-4k,0_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.24898386001587
mistral-7b-instruct-4k,0_5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.086669683456421
mistral-7b-instruct-4k,0_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.067524671554565
mistral-7b-instruct-4k,0_7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.196289539337158
mistral-7b-instruct-4k,0_8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,12.102996587753296
mistral-7b-instruct-4k,0_9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0,0,5.0,0,0,11.873663902282715
