Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,15.111995220184326
gpt-3.5-turbo-1106,0_1,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,16.000484943389893
gpt-3.5-turbo-1106,0_2,9.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.4,95.0,90.0,13.863585472106934
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,13.454774141311646
gpt-3.5-turbo-1106,0_4,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,90.0,85.0,12.299705982208252
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,13.011104345321655
gpt-3.5-turbo-1106,0_6,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.7,95.0,90.0,17.000223875045776
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,95.0,14.46351933479309
gpt-3.5-turbo-1106,0_8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,12.850781679153442
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,13.683351278305054
llama-v2-13b-chat,0_0,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.134882926940918
llama-v2-13b-chat,0_1,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,16.902722358703613
llama-v2-13b-chat,0_2,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,16.84584331512451
llama-v2-13b-chat,0_3,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,16.843146800994873
llama-v2-13b-chat,0_4,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.196935653686523
llama-v2-13b-chat,0_5,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.12813687324524
llama-v2-13b-chat,0_6,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.067859411239624
llama-v2-13b-chat,0_7,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.089739084243774
llama-v2-13b-chat,0_8,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.081481456756592
llama-v2-13b-chat,0_9,1.0,5.0,5.0,5.0,5.0,5.0,,False,50.0,50.0,5.0,50.0,50.0,17.297990560531616
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,8.970996618270874
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.045185327529907
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.244654178619385
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.266077518463135
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.295055627822876
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.615399360656738
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.020786762237549
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,8.965886354446411
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.18021035194397
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.01891040802002
