Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,9.5,9.0,8.5,8.0,7.5,7.0,False,20.0,90.0,7.5,80.0,85.0,10.440163850784302
gpt-3.5-turbo-1106,0_1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,14.489667654037476
gpt-3.5-turbo-1106,0_2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,13.299947738647461
gpt-3.5-turbo-1106,0_3,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70.0,80.0,5.5,75.0,85.0,9.185974597930908
gpt-3.5-turbo-1106,0_4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,13.909303665161133
gpt-3.5-turbo-1106,0_5,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,14.934868574142456
gpt-3.5-turbo-1106,0_6,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,60.0,70.0,6.5,80.0,75.0,9.03697681427002
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,11.698545455932617
gpt-3.5-turbo-1106,0_8,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,95.0,90.0,13.80309796333313
gpt-3.5-turbo-1106,0_9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,True,95.0,90.0,9.0,95.0,90.0,14.321723222732544
llama-v2-13b-chat,0_0,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.329160928726196
llama-v2-13b-chat,0_1,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.01110291481018
llama-v2-13b-chat,0_2,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.773120641708374
llama-v2-13b-chat,0_3,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.485065221786499
llama-v2-13b-chat,0_4,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.127892971038818
llama-v2-13b-chat,0_5,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.10771632194519
llama-v2-13b-chat,0_6,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.07647705078125
llama-v2-13b-chat,0_7,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.14962911605835
llama-v2-13b-chat,0_8,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.520141839981079
llama-v2-13b-chat,0_9,1.0,4.0,1.0,5.0,1.0,5.0,,False,20.0,30.0,2.0,20.0,30.0,15.649733304977417
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.274141073226929
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.697593450546265
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.191084623336792
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.461790084838867
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.587385177612305
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.385974407196045
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.487701177597046
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.263688325881958
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.78256869316101
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.9,8.0,0.9,0.9,9.639801025390625
