Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,8.5,7.5,7.0,6.5,6.0,5.5,5.0,False,60.0,70.0,6.5,80.0,75.0,9.413265228271484
gpt-3.5-turbo-1106,0_1,7.5,6.5,5.5,4.5,3.5,2.5,1.5,False,80.0,90.0,4.5,85.0,85.0,10.444574117660522
gpt-3.5-turbo-1106,0_2,10.0,9.5,9.0,8.5,8.0,7.5,7.0,True,95.0,90.0,8.5,90.0,85.0,11.946983814239502
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,13.008867740631104
gpt-3.5-turbo-1106,0_4,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.6,95.0,90.0,14.402771711349487
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,14.406630754470825
gpt-3.5-turbo-1106,0_6,10.0,9.5,9.0,8.5,8.0,7.5,7.0,True,95.0,90.0,8.5,90.0,85.0,8.561845779418945
gpt-3.5-turbo-1106,0_7,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.5,95.0,90.0,15.064817667007446
gpt-3.5-turbo-1106,0_8,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,70.0,80.0,4.5,75.0,85.0,8.38797640800476
gpt-3.5-turbo-1106,0_9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,95.0,13.159585952758789
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,16.30128788948059
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.68520712852478
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.608777523040771
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,16.044642686843872
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.743834972381592
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.644729852676392
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.68329906463623
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,16.37391209602356
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.654443740844727
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.61587905883789
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.952688455581665
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.955942630767822
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.57774567604065
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.59727168083191
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.548613786697388
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.53731894493103
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.477062940597534
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.527696132659912
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.570187330245972
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,0.9,0.8,7.0,0.9,0.8,8.56876254081726
