Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,15.70353102684021
gpt-3.5-turbo-1106,0_1,10.0,9.5,9.0,8.5,8.0,7.5,7.0,False,75.0,90.0,7.5,80.0,85.0,12.086546421051025
gpt-3.5-turbo-1106,0_2,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,80.0,90.0,6.0,85.0,85.0,9.178750276565552
gpt-3.5-turbo-1106,0_3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,13.225502967834473
gpt-3.5-turbo-1106,0_4,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,30.0,70.0,7.0,80.0,90.0,7.683587074279785
gpt-3.5-turbo-1106,0_5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95.0,90.0,8.6,90.0,85.0,12.588824987411499
gpt-3.5-turbo-1106,0_6,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,30.0,70.0,5.5,60.0,80.0,9.094701528549194
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95.0,90.0,10.0,95.0,90.0,12.281784057617188
gpt-3.5-turbo-1106,0_8,10.0,9.5,9.5,9.5,9.5,9.5,9.5,True,95.0,90.0,9.6,95.0,90.0,14.577844858169556
gpt-3.5-turbo-1106,0_9,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,30.0,70.0,6.0,60.0,80.0,7.098348140716553
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,16.521834135055542
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.682512283325195
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.63309359550476
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.641281366348267
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.672968864440918
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.678570985794067
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.761460065841675
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.894272089004517
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.681056022644043
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,70.0,80.0,7.0,70.0,80.0,15.858597755432129
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.034502744674683
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.465039491653442
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.531315803527832
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.536300420761108
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.139398097991943
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.07859754562378
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.502244710922241
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.736551761627197
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.105041265487671
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True,100.0,100.0,8.0,100.0,100.0,9.301342487335205
