Model,Temperature_repeatIndex,0.0s,0.5s,1.0s,1.5s,2.0s,2.5s,3.0s,Realistic,Realistic_Probability,Realistic_Confidence,Scenario,Scenario_Probability,Scenario_Confidence,Time
gpt-3.5-turbo-1106,0_0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,100,100,10.0,100,100,11.86080813407898
gpt-3.5-turbo-1106,0_1,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,85,90,6.0,80,85,8.97831106185913
gpt-3.5-turbo-1106,0_2,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,30,70,4.5,40,80,7.370323896408081
gpt-3.5-turbo-1106,0_3,9.0,8.5,8.5,8.5,8.5,8.5,8.5,True,95,90,8.7,90,85,118.17245030403137
gpt-3.5-turbo-1106,0_4,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,20,70,7.0,80,80,8.494499683380127
gpt-3.5-turbo-1106,0_5,10.0,9.0,8.0,7.0,6.0,5.0,4.0,False,30,70,7.0,60,80,9.050790309906006
gpt-3.5-turbo-1106,0_6,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,80,3.0,70,85,9.432097911834717
gpt-3.5-turbo-1106,0_7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,True,95,90,10.0,95,90,13.898605823516846
gpt-3.5-turbo-1106,0_8,8.5,7.5,6.5,5.5,4.5,3.5,2.5,False,75,80,3.0,70,85,11.09824514389038
gpt-3.5-turbo-1106,0_9,9.0,8.5,8.0,7.5,7.0,6.5,6.0,False,70,80,6.5,75,85,8.008802652359009
llama-v2-13b-chat,0_0,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.14177441596985
llama-v2-13b-chat,0_1,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,16.077513217926025
llama-v2-13b-chat,0_2,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.666687965393066
llama-v2-13b-chat,0_3,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.625219345092773
llama-v2-13b-chat,0_4,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.703898429870605
llama-v2-13b-chat,0_5,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.667712688446045
llama-v2-13b-chat,0_6,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.654855012893677
llama-v2-13b-chat,0_7,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.679643154144287
llama-v2-13b-chat,0_8,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.919942378997803
llama-v2-13b-chat,0_9,1.0,5.0,6.0,7.0,8.0,9.0,,False,60,70,7.0,60,70,15.668367147445679
mistral-7b-instruct-4k,0_0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.346338987350464
mistral-7b-instruct-4k,0_1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.749238967895508
mistral-7b-instruct-4k,0_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.611937999725342
mistral-7b-instruct-4k,0_3,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.614533424377441
mistral-7b-instruct-4k,0_4,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.625877141952515
mistral-7b-instruct-4k,0_5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.543028593063354
mistral-7b-instruct-4k,0_6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.500891208648682
mistral-7b-instruct-4k,0_7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.554450511932373
mistral-7b-instruct-4k,0_8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.528665781021118
mistral-7b-instruct-4k,0_9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,0,0,5.0,0,0,8.75496530532837
